historian,period_label,year
Werner Cohn,Renaissance,1952
Werner Cohn,Renaissance,1953
Werner Cohn,Renaissance,1954
Werner Cohn,Renaissance,1955
Werner Cohn,Renaissance,1956
Werner Cohn,Renaissance,1957
Werner Cohn,Renaissance,1958
Werner Cohn,Renaissance,1959
Werner Cohn,Renaissance,1960
Wolfgang Lotz,Renaissance,1936
Wolfgang Lotz,Renaissance,1937
Wolfgang Lotz,Renaissance,1938
Wolfgang Lotz,Renaissance,1939
Wolfgang Lotz,Renaissance,1940
Wolfgang Lotz,Renaissance,1941
Wolfgang Lotz,Renaissance,1942
Wolfgang Lotz,Renaissance,1943
Wolfgang Lotz,Renaissance,1944
Wolfgang Lotz,Renaissance,1945
Wolfgang Lotz,Renaissance,1946
Wolfgang Lotz,Renaissance,1947
Wolfgang Lotz,Renaissance,1948
Wolfgang Lotz,Renaissance,1949
Wolfgang Lotz,Renaissance,1950
Wolfgang Lotz,Renaissance,1951
Wolfgang Lotz,Renaissance,1952
Wolfgang Lotz,Renaissance,1953
Wolfgang Lotz,Renaissance,1954
Wolfgang Lotz,Renaissance,1955
Wolfgang Lotz,Renaissance,1956
Wolfgang Lotz,Renaissance,1957
Wolfgang Lotz,Renaissance,1958
Wolfgang Lotz,Renaissance,1959
Wolfgang Lotz,Renaissance,1960
Wolfgang Lotz,Renaissance,1961
Wolfgang Lotz,Renaissance,1962
Wolfgang Lotz,Renaissance,1963
Wolfgang Lotz,Renaissance,1964
Wolfgang Lotz,Renaissance,1965
Wolfgang Lotz,Renaissance,1966
Wolfgang Lotz,Renaissance,1967
Wolfgang Lotz,Renaissance,1968
Wolfgang Lotz,Renaissance,1969
Wolfgang Lotz,Renaissance,1970
Wolfgang Lotz,Renaissance,1971
Wolfgang Lotz,Renaissance,1972
Wolfgang Lotz,Renaissance,1973
